"","Country","region","X.1","year","visitors"
"1","China","Asia",NA,2000-03-01,15127
"2","China","Asia",NA,2000-06-01,21623
"3","China","Asia",NA,2000-09-01,24458
"4","China","Asia",NA,2000-12-01,18492
"5","China","Asia",NA,2001-03-01,18786
"6","China","Asia",NA,2001-06-01,23444
"7","China","Asia",NA,2001-09-01,18240
"8","China","Asia",NA,2001-12-01,12728
"9","China","Asia",NA,2002-03-01,15667
"10","China","Asia",NA,2002-06-01,21078
"11","China","Asia",NA,2002-09-01,19881
"12","China","Asia",NA,2002-12-01,13430
"13","China","Asia",NA,2003-03-01,10760
"14","China","Asia",NA,2003-06-01,8610
"15","China","Asia",NA,2003-09-01,17011
"16","China","Asia",NA,2003-12-01,13897
"17","China","Asia",NA,2004-03-01,16211
"18","China","Asia",NA,2004-06-01,16847
"19","China","Asia",NA,2004-09-01,17321
"20","China","Asia",NA,2004-12-01,16147
"21","China","Asia",NA,2005-03-01,17679
"22","China","Asia",NA,2005-06-01,23262
"23","China","Asia",NA,2005-09-01,25234
"24","China","Asia",NA,2005-12-01,21014
"25","China","Asia",NA,2006-03-01,20507
"26","China","Asia",NA,2006-06-01,26193
"27","China","Asia",NA,2006-09-01,32406
"28","China","Asia",NA,2006-12-01,23252
"29","China","Asia",NA,2007-03-01,25958
"30","China","Asia",NA,2007-06-01,32585
"31","China","Asia",NA,2007-09-01,40170
"32","China","Asia",NA,2007-12-01,28643
"33","China","Asia",NA,2008-03-01,34930
"34","China","Asia",NA,2008-06-01,41029
"35","China","Asia",NA,2008-09-01,49184
"36","China","Asia",NA,2008-12-01,33470
"37","China","Asia",NA,2009-03-01,33123
"38","China","Asia",NA,2009-06-01,33737
"39","China","Asia",NA,2009-09-01,56886
"40","China","Asia",NA,2009-12-01,42511
"41","China","Asia",NA,2010-03-01,45323
"42","China","Asia",NA,2010-06-01,66178
"43","China","Asia",NA,2010-09-01,81222
"44","China","Asia",NA,2010-12-01,58808
"45","China","Asia",NA,2011-03-01,56951
"46","China","Asia",NA,2011-06-01,85309
"47","China","Asia",NA,2011-09-01,113528
"48","China","Asia",NA,2011-12-01,79136
"49","China","Asia",NA,2012-03-01,84185
"50","China","Asia",NA,2012-06-01,121226
"51","China","Asia",NA,2012-09-01,151130
"52","China","Asia",NA,2012-12-01,99679
"53","China","Asia",NA,2013-03-01,103531
"54","China","Asia",NA,2013-06-01,155402
"55","China","Asia",NA,2013-09-01,184267
"56","China","Asia",NA,2013-12-01,130565
"57","China","Asia",NA,2014-03-01,128611
"58","China","Asia",NA,2014-06-01,187602
"59","China","Asia",NA,2014-09-01,214186
"60","China","Asia",NA,2014-12-01,149083
"61","China","Asia",NA,2015-03-01,153262
"62","China","Asia",NA,2015-06-01,215206
"63","China","Asia",NA,2015-09-01,271200
"64","China","Asia",NA,2015-12-01,171680
"65","China","Asia",NA,2016-03-01,178966
"66","China","Asia",NA,2016-06-01,252119
"67","China","Asia",NA,2016-09-01,309938
"68","China","Asia",NA,2016-12-01,207343
"69","China","Asia",NA,2017-03-01,195901
"70","China","Asia",NA,2017-06-01,264065
"71","China","Asia",NA,2017-09-01,299295
"72","China","Asia",NA,2017-12-01,203407
"73","China","Asia",NA,2018-03-01,199627
"74","China","Asia",NA,2018-06-01,258787
"75","China","Asia",NA,2018-09-01,281169
"76","China","Asia",NA,2018-12-01,180563
"77","China","Asia",NA,2019-03-01,192431
"78","China","Asia",NA,2019-06-01,249772
"79","China","Asia",NA,2019-09-01,246200
"80","China","Asia",NA,2019-12-01,177039
"81","China","Asia",NA,2020-03-01,10824
"82","China","Asia",NA,2020-06-01,783
"83","China","Asia",NA,2020-09-01,2007
"84","China","Asia",NA,2020-12-01,2460
"85","China","Asia",NA,2021-03-01,2676
"86","China","Asia",NA,2021-06-01,4156
"87","China","Asia",NA,2021-09-01,34011
"88","China","Asia",NA,2021-12-01,19747
"89","China","Asia",NA,2022-03-01,16415
"90","China","Asia",NA,2022-06-01,25422
"91","China","Asia",NA,2022-09-01,40169
"92","China","Asia",NA,2022-12-01,31651
"93","South Korea","Asia",NA,2000-02-01,45635
"94","South Korea","Asia",NA,2000-05-01,57149
"95","South Korea","Asia",NA,2000-08-01,64466
"96","South Korea","Asia",NA,2000-11-01,50080
"97","South Korea","Asia",NA,2001-02-01,42096
"98","South Korea","Asia",NA,2001-05-01,54835
"99","South Korea","Asia",NA,2001-08-01,72273
"100","South Korea","Asia",NA,2001-11-01,35317
"101","South Korea","Asia",NA,2002-02-01,45366
"102","South Korea","Asia",NA,2002-05-01,53175
"103","South Korea","Asia",NA,2002-08-01,71828
"104","South Korea","Asia",NA,2002-11-01,53331
"105","South Korea","Asia",NA,2003-02-01,41851
"106","South Korea","Asia",NA,2003-05-01,51088
"107","South Korea","Asia",NA,2003-08-01,74105
"108","South Korea","Asia",NA,2003-11-01,44904
"109","South Korea","Asia",NA,2004-02-01,47191
"110","South Korea","Asia",NA,2004-05-01,52600
"111","South Korea","Asia",NA,2004-08-01,66825
"112","South Korea","Asia",NA,2004-11-01,39303
"113","South Korea","Asia",NA,2005-02-01,47573
"114","South Korea","Asia",NA,2005-05-01,60066
"115","South Korea","Asia",NA,2005-08-01,80891
"116","South Korea","Asia",NA,2005-11-01,43692
"117","South Korea","Asia",NA,2006-02-01,48303
"118","South Korea","Asia",NA,2006-05-01,61946
"119","South Korea","Asia",NA,2006-08-01,84370
"120","South Korea","Asia",NA,2006-11-01,49891
"121","South Korea","Asia",NA,2007-02-01,53505
"122","South Korea","Asia",NA,2007-05-01,67349
"123","South Korea","Asia",NA,2007-08-01,93817
"124","South Korea","Asia",NA,2007-11-01,50932
"125","South Korea","Asia",NA,2008-02-01,58515
"126","South Korea","Asia",NA,2008-05-01,67847
"127","South Korea","Asia",NA,2008-08-01,92204
"128","South Korea","Asia",NA,2008-11-01,39334
"129","South Korea","Asia",NA,2009-02-01,43090
"130","South Korea","Asia",NA,2009-05-01,54656
"131","South Korea","Asia",NA,2009-08-01,88749
"132","South Korea","Asia",NA,2009-11-01,49710
"133","South Korea","Asia",NA,2010-02-01,64648
"134","South Korea","Asia",NA,2010-05-01,94332
"135","South Korea","Asia",NA,2010-08-01,119191
"136","South Korea","Asia",NA,2010-11-01,80737
"137","South Korea","Asia",NA,2011-02-01,83156
"138","South Korea","Asia",NA,2011-05-01,100492
"139","South Korea","Asia",NA,2011-08-01,129505
"140","South Korea","Asia",NA,2011-11-01,86739
"141","South Korea","Asia",NA,2012-02-01,91386
"142","South Korea","Asia",NA,2012-05-01,104367
"143","South Korea","Asia",NA,2012-08-01,131807
"144","South Korea","Asia",NA,2012-11-01,99150
"145","South Korea","Asia",NA,2013-02-01,91720
"146","South Korea","Asia",NA,2013-05-01,120355
"147","South Korea","Asia",NA,2013-08-01,143227
"148","South Korea","Asia",NA,2013-11-01,108660
"149","South Korea","Asia",NA,2014-02-01,83750
"150","South Korea","Asia",NA,2014-05-01,119619
"151","South Korea","Asia",NA,2014-08-01,150522
"152","South Korea","Asia",NA,2014-11-01,105671
"153","South Korea","Asia",NA,2015-02-01,118912
"154","South Korea","Asia",NA,2015-05-01,154737
"155","South Korea","Asia",NA,2015-08-01,161642
"156","South Korea","Asia",NA,2015-11-01,145991
"157","South Korea","Asia",NA,2016-02-01,150529
"158","South Korea","Asia",NA,2016-05-01,154922
"159","South Korea","Asia",NA,2016-08-01,171043
"160","South Korea","Asia",NA,2016-11-01,159663
"161","South Korea","Asia",NA,2017-02-01,171611
"162","South Korea","Asia",NA,2017-05-01,182857
"163","South Korea","Asia",NA,2017-08-01,202835
"164","South Korea","Asia",NA,2017-11-01,178959
"165","South Korea","Asia",NA,2018-02-01,168171
"166","South Korea","Asia",NA,2018-05-01,189192
"167","South Korea","Asia",NA,2018-08-01,201782
"168","South Korea","Asia",NA,2018-11-01,139298
"169","South Korea","Asia",NA,2019-02-01,165478
"170","South Korea","Asia",NA,2019-05-01,187309
"171","South Korea","Asia",NA,2019-08-01,209738
"172","South Korea","Asia",NA,2019-11-01,177888
"173","South Korea","Asia",NA,2020-02-01,135959
"174","South Korea","Asia",NA,2020-05-01,2518
"175","South Korea","Asia",NA,2020-08-01,11577
"176","South Korea","Asia",NA,2020-11-01,4556
"177","South Korea","Asia",NA,2021-02-01,4850
"178","South Korea","Asia",NA,2021-05-01,8769
"179","South Korea","Asia",NA,2021-08-01,29212
"180","South Korea","Asia",NA,2021-11-01,33707
"181","South Korea","Asia",NA,2022-02-01,17577
"182","South Korea","Asia",NA,2022-05-01,70641
"183","South Korea","Asia",NA,2022-08-01,111670
"184","South Korea","Asia",NA,2022-11-01,96436
"185","Vietnam","Asia",NA,2000-01-01,266
"186","Vietnam","Asia",NA,2000-04-01,557
"187","Vietnam","Asia",NA,2000-07-01,936
"188","Vietnam","Asia",NA,2000-10-01,1009
"189","Vietnam","Asia",NA,2001-01-01,713
"190","Vietnam","Asia",NA,2001-04-01,1231
"191","Vietnam","Asia",NA,2001-07-01,1301
"192","Vietnam","Asia",NA,2001-10-01,845
"193","Vietnam","Asia",NA,2002-01-01,578
"194","Vietnam","Asia",NA,2002-04-01,1079
"195","Vietnam","Asia",NA,2002-07-01,1470
"196","Vietnam","Asia",NA,2002-10-01,804
"197","Vietnam","Asia",NA,2003-01-01,558
"198","Vietnam","Asia",NA,2003-04-01,426
"199","Vietnam","Asia",NA,2003-07-01,816
"200","Vietnam","Asia",NA,2003-10-01,886
"201","Vietnam","Asia",NA,2004-01-01,698
"202","Vietnam","Asia",NA,2004-04-01,885
"203","Vietnam","Asia",NA,2004-07-01,1302
"204","Vietnam","Asia",NA,2004-10-01,645
"205","Vietnam","Asia",NA,2005-01-01,865
"206","Vietnam","Asia",NA,2005-04-01,1288
"207","Vietnam","Asia",NA,2005-07-01,2207
"208","Vietnam","Asia",NA,2005-10-01,1281
"209","Vietnam","Asia",NA,2006-01-01,1349
"210","Vietnam","Asia",NA,2006-04-01,1598
"211","Vietnam","Asia",NA,2006-07-01,2499
"212","Vietnam","Asia",NA,2006-10-01,1698
"213","Vietnam","Asia",NA,2007-01-01,2003
"214","Vietnam","Asia",NA,2007-04-01,2264
"215","Vietnam","Asia",NA,2007-07-01,3902
"216","Vietnam","Asia",NA,2007-10-01,2954
"217","Vietnam","Asia",NA,2008-01-01,2687
"218","Vietnam","Asia",NA,2008-04-01,3481
"219","Vietnam","Asia",NA,2008-07-01,4562
"220","Vietnam","Asia",NA,2008-10-01,2505
"221","Vietnam","Asia",NA,2009-01-01,2801
"222","Vietnam","Asia",NA,2009-04-01,2633
"223","Vietnam","Asia",NA,2009-07-01,3704
"224","Vietnam","Asia",NA,2009-10-01,2814
"225","Vietnam","Asia",NA,2010-01-01,2836
"226","Vietnam","Asia",NA,2010-04-01,3213
"227","Vietnam","Asia",NA,2010-07-01,4479
"228","Vietnam","Asia",NA,2010-10-01,3082
"229","Vietnam","Asia",NA,2011-01-01,3537
"230","Vietnam","Asia",NA,2011-04-01,2901
"231","Vietnam","Asia",NA,2011-07-01,5489
"232","Vietnam","Asia",NA,2011-10-01,2957
"233","Vietnam","Asia",NA,2012-01-01,4324
"234","Vietnam","Asia",NA,2012-04-01,3357
"235","Vietnam","Asia",NA,2012-07-01,5243
"236","Vietnam","Asia",NA,2012-10-01,3715
"237","Vietnam","Asia",NA,2013-01-01,4131
"238","Vietnam","Asia",NA,2013-04-01,4556
"239","Vietnam","Asia",NA,2013-07-01,7332
"240","Vietnam","Asia",NA,2013-10-01,4309
"241","Vietnam","Asia",NA,2014-01-01,5278
"242","Vietnam","Asia",NA,2014-04-01,5154
"243","Vietnam","Asia",NA,2014-07-01,9579
"244","Vietnam","Asia",NA,2014-10-01,6232
"245","Vietnam","Asia",NA,2015-01-01,6570
"246","Vietnam","Asia",NA,2015-04-01,7917
"247","Vietnam","Asia",NA,2015-07-01,10409
"248","Vietnam","Asia",NA,2015-10-01,7067
"249","Vietnam","Asia",NA,2016-01-01,6901
"250","Vietnam","Asia",NA,2016-04-01,7383
"251","Vietnam","Asia",NA,2016-07-01,12063
"252","Vietnam","Asia",NA,2016-10-01,7865
"253","Vietnam","Asia",NA,2017-01-01,9976
"254","Vietnam","Asia",NA,2017-04-01,7843
"255","Vietnam","Asia",NA,2017-07-01,12592
"256","Vietnam","Asia",NA,2017-10-01,8042
"257","Vietnam","Asia",NA,2018-01-01,8007
"258","Vietnam","Asia",NA,2018-04-01,8030
"259","Vietnam","Asia",NA,2018-07-01,12824
"260","Vietnam","Asia",NA,2018-10-01,8108
"261","Vietnam","Asia",NA,2019-01-01,9613
"262","Vietnam","Asia",NA,2019-04-01,8607
"263","Vietnam","Asia",NA,2019-07-01,13110
"264","Vietnam","Asia",NA,2019-10-01,9509
"265","Vietnam","Asia",NA,2020-01-01,12668
"266","Vietnam","Asia",NA,2020-04-01,31
"267","Vietnam","Asia",NA,2020-07-01,261
"268","Vietnam","Asia",NA,2020-10-01,303
"269","Vietnam","Asia",NA,2021-01-01,628
"270","Vietnam","Asia",NA,2021-04-01,387
"271","Vietnam","Asia",NA,2021-07-01,1266
"272","Vietnam","Asia",NA,2021-10-01,632
"273","Vietnam","Asia",NA,2022-01-01,2131
"274","Vietnam","Asia",NA,2022-04-01,3345
"275","Vietnam","Asia",NA,2022-07-01,7543
"276","Vietnam","Asia",NA,2022-10-01,8018
